Reason (why not matched),Task name (Hubstaff),Project,ClickUp id tried,Hours
REMOTE_MISSING (id not in ClickUp),Weekly: Commission Sheet Update,Onboarding Clients / Duvin_Garrett (F),86czhhc1d,17.4
REMOTE_MISSING (id not in ClickUp),Reconciliation: Payroll update,Operations - Synergy / Master_Lloyd : Antfam Hospitality LLC (H),85zrryngg,17.4
REMOTE_MISSING (id not in ClickUp),Slack and Email for TVP,Operations - Bravix / Finance Faheem_CPA (H),86czn6jvm,17.4
REMOTE_MISSING (id not in ClickUp),BB Philly_Reconciliation: Bank and Card,Operations - Synergy / Blind_Adam (H),86d0v4rzu,17.3
REMOTE_MISSING (id not in ClickUp),03. AP Management: Bills Add to AP sheet and folder,Operations - Falcons /Smrtft_Rob (H),85yx2nwar,17.3
REMOTE_MISSING (id not in ClickUp),BB BB LLC_Audit: Monthly General Ledger Review,Operations - Synergy / Blind_Adam (H),86cvhuez9,17.3
REMOTE_MISSING (id not in ClickUp),Audit: Document Request & Folder Management,Onboarding Clients / DocsDiesel_Max,86cxqm35g,17.3
REMOTE_MISSING (id not in ClickUp),Task verify,Operations - Bravix / EpicRise_Lin (H),86d0r1q85,17.3
REMOTE_MISSING (id not in ClickUp),S+M_Initial Review,Operations - Bravix / Finance Faheem_CPA (H),86d0t6jem,17.3
REMOTE_MISSING (id not in ClickUp),Hostage Tape_Bank and Card,Operations - Bravix / Finance Faheem_CPA (H),86cwzbp17,17.2
REMOTE_MISSING (id not in ClickUp),Trial Balance Update By Department wise,Operations - Ledger Labs / Agora_Arsalan(New),86ctv3301,17.2
REMOTE_MISSING (id not in ClickUp),JFK Properties: Rent Roll Working,Operations - Synergy / IDream_Joseph (H),86cuh66bk,17.2
REMOTE_MISSING (id not in ClickUp),Payroll Management: Run Payroll & Send Report,Operations - Synergy / T1_Ward (F),85zrze14u,17.2
REMOTE_MISSING (id not in ClickUp),AR Management: AR reconciliation,Operations - Synergy / Found_Bethany,86cuzy0vk,17.2
REMOTE_MISSING (id not in ClickUp),Audit: Monthly General Ledger Review,Operations - Titans / Craftmade_Kate  (H),338xugx,17.2
REMOTE_MISSING (id not in ClickUp),Task Review,Operations - Bravix / Dannik_Olga (F),86czrjky0,17.2
REMOTE_MISSING (id not in ClickUp),Abi: Bank & Credit Card Reconciliation,Operations - Ledger Labs / Trilogis_Cedris,86cvmkdnt,17.2
REMOTE_MISSING (id not in ClickUp),Zuri Furniture Review,Admin-Operational Works,14385073,17.2
REMOTE_MISSING (id not in ClickUp),1.ASHBURN-Bank & Card Reconciliation: Endless Checking at MainStreet,Operations - Syndicate / Goddardschool_Akhil (F),314fbdc,17.1
REMOTE_MISSING (id not in ClickUp),Audit: Monthly General Ledger Review,Operations - Ledger Labs / EanB_Michael,31fxw2u,17.1
REMOTE_MISSING (id not in ClickUp),Audit:Book Correction and Review,Operations - Mavericks / Base_Bob (F),86cx3tda8,17.0
REMOTE_MISSING (id not in ClickUp),TMM - Inbox Management : Daily Email Response,Operations - Falcons / Topo_Erin (H),86cv9awrr,17.0
REMOTE_MISSING (id not in ClickUp),Reconcile Bank & Credit Card: Business checking 1732,Operations - Synergy / IDream_Joseph (H),8678zu3ph,17.0
NO_TASK (project-level only),(no task - project level),Operations - Ledger Labs / 📋 Form-1,,17.0
REMOTE_MISSING (id not in ClickUp),Cash Flow & Vendor Expense Summary,Operations - Synergy / IDream_Joseph (H),86cxxf23t,17.0
REMOTE_MISSING (id not in ClickUp),Sales Reconciliation :  LVRW LLC,Operations - Syndicate / Maceoo_Mehdi (F),866ap5byh,16.9
REMOTE_MISSING (id not in ClickUp),PJ LLC: Sales Tax,Operations - Bravix / Finance Faheem_CPA (H),86cy28gez,16.9
REMOTE_MISSING (id not in ClickUp),AWE: Books Review,Operations - Bravix / Finance Faheem_CPA (H),86cwvrv19,16.9
REMOTE_MISSING (id not in ClickUp),Status & Queries: Books Status & Fixing Queries,Operations - Synergy / OXholdings_Billy (H),85zrhvzpu,16.9
NO_TASK (project-level only),(no task - project level),Operations - Syndicate / AMA_Andrea,,16.9
REMOTE_MISSING (id not in ClickUp),Fixing Client Issue_Team_Syndicate_Paragone,Operations - Synergy / NB Tasks - Synergy,86cv733hr,16.8
REMOTE_MISSING (id not in ClickUp),Documentation: Request Monthly Documents & Arrenge,Archived Projects- Ledger Labs- / Nano_Chris,85zrpymhh,16.8
REMOTE_MISSING (id not in ClickUp),Sales Reconciliation: Close all the Sales Order Correctly,Operations - Bravix / SevenShopper_Lin (H),85zrhkq5v,16.8
REMOTE_MISSING (id not in ClickUp),MCAP- Rent Ledger update as per Marathon rent manager,Operations - Bravix / Mark Perlberg_CPA (F),86cw68fyt,16.7
REMOTE_MISSING (id not in ClickUp),BB West:Audit: Monthly General Ledger Review,Operations - Synergy / Blind_Adam (H),314aatm,16.7
REMOTE_MISSING (id not in ClickUp),Credit Card:Amex Corp-81009,Onboarding Clients / Duvin_Garrett (F),86d0bkd4n,16.7
REMOTE_MISSING (id not in ClickUp),BB Chicago_Tax Services: Prepare Sales Report for Sales Tax Return Monthly,Operations - Synergy / Blind_Adam (H),86cvr9z99,16.7
REMOTE_MISSING (id not in ClickUp),Blue Pineapple Rental Group: Blue Bank Reconciliation,Operations - Bravix / Mark Perlberg_CPA (F),86cv4ztvb,16.7
REMOTE_MISSING (id not in ClickUp),BB West_AP Management: Adding Bills & Payments Reconciliation,Operations - Synergy / Blind_Adam (H),86cv0fmj3,16.7
NO_REMOTE (native Hubstaff task),Salustian Ribeiro - Notices,Admin-Operational Works,,16.6
NO_TASK (project-level only),(no task - project level),Operations - Bravix / EpicRise_Lin (H),,16.6
REMOTE_MISSING (id not in ClickUp),Review & Audit :Review BS & PL for 2022,Operations - Synergy / Master_Lloyd : Econo Homes LLC and Affiliates,33377tf,16.6
REMOTE_MISSING (id not in ClickUp),Task verify,Operations - Bravix / EpicRise_Lin (H),86czr4vp2,16.6
REMOTE_MISSING (id not in ClickUp),NB- On Training,Operations - Bravix / NB Tasks - Bravix,86d28w3ab,16.6
REMOTE_MISSING (id not in ClickUp),BB LLC:Audit: Monthly General Ledger Review,Operations - Synergy / Blind_Adam (H),314beya,16.6
REMOTE_MISSING (id not in ClickUp),JFK: Monthly Invoicing,Operations - Synergy / IDream_Joseph (H),86cwwxhfu,16.5
REMOTE_MISSING (id not in ClickUp),Audit: Monthly Operating Report,Operations - Titans / McMullen_Sherri (H),86cwkf9bz,16.5
REMOTE_MISSING (id not in ClickUp),"CP Realty Consultants, Inc._Audit & Review",Operations - Bravix / Mark Perlberg_CPA (F),86cvr0qy4,16.5
REMOTE_MISSING (id not in ClickUp),Audit: Review BS & PL as monthwise,Operations - Synergy / Found_Bethany,314e9wv,16.5
REMOTE_MISSING (id not in ClickUp),Alterna Capital loan,Operations - Bravix / Dannik_Olga (F),86cu3nhcp,16.4
REMOTE_MISSING (id not in ClickUp),Email Management: Checking Email & Daily Task Delegation (Abhishek),Operations - Synergy / Blind_Adam (H),86d1tvt05,16.4
REMOTE_MISSING (id not in ClickUp),NB - Training & Research,Operations - Synergy / Blind_Adam (H),86curwnw5,16.3
REMOTE_MISSING (id not in ClickUp),BB Nashville_Bar_Audit: Monthly General Ledger Review,Operations - Synergy / Blind_Adam (H),86cznpquw,16.3
REMOTE_MISSING (id not in ClickUp),Process the payroll,Archived Projects- Ledger Labs- / Nano_Chris,85ztj4ndy,16.3
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation,Operations - Titans / Unbox_Mohit (F),86cv21919,16.3
NO_TASK (project-level only),(no task - project level),Operations - Bravix / SevenShopper_Lin (H),,16.2
REMOTE_MISSING (id not in ClickUp),Quality Control: Sales Clearing,Operations - Synergy / Blind_Adam (H),85zttknkp,16.2
REMOTE_MISSING (id not in ClickUp),BB Highland:Audit: Monthly General Ledger Review,Operations - Synergy / Blind_Adam (H),314av92,16.2
REMOTE_MISSING (id not in ClickUp),JFK: Audit & Review,Operations - Synergy / IDream_Joseph (H),86cy177m7,16.2
REMOTE_MISSING (id not in ClickUp),Meeting with Praduman,Tax-Compliance Taks -(Common),15569570,16.2
REMOTE_MISSING (id not in ClickUp),Monthly: Reconciliation Bank & Credit Card,Onboarding Clients / Duvin_Garrett (F),86cwt8f0c,16.1
REMOTE_MISSING (id not in ClickUp),Baselinx : Book Status update and Fixing Queries,Operations - Mavericks / Base_Bob (F),86cytcaj7,16.1
REMOTE_MISSING (id not in ClickUp),SF_Banks Reconciled in QBO,Operations - Bravix / Finance Faheem_CPA (H),86cvg8yje,16.1
REMOTE_MISSING (id not in ClickUp),Bank Reconciliation: Book Private Loan and SBA loan monthly interest expense,Operations - Bravix / EpicRise_Lin (H),86d1b6w9r,16.1
REMOTE_MISSING (id not in ClickUp),BB West:Payroll Management: Posting payroll From Paychex,Operations - Synergy / Blind_Adam (H),314aatt,16.1
REMOTE_MISSING (id not in ClickUp),BB West_Reconciliation: Bank and Card,Operations - Synergy / Blind_Adam (H),86cvr9zp7,16.1
REMOTE_MISSING (id not in ClickUp),TLV- Bank & Card Reconciliation ,Operations - Falcons / Topo_Erin (H),86cvtp560,16.1
REMOTE_MISSING (id not in ClickUp),"Income Statement, balance sheet review",Operations - Bravix / EpicRise_Lin (H),86d1t31z7,16.1
REMOTE_MISSING (id not in ClickUp),AWE: Settle payment,Operations - Bravix / Finance Faheem_CPA (H),86cwvrv3j,16.0
REMOTE_MISSING (id not in ClickUp),Paravel_Sales Tax Report,Operations - Bravix / Finance Faheem_CPA (H),86cz09d03,16.0
REMOTE_MISSING (id not in ClickUp),Travis Loidolt_Bank & Card Reconcillation,Operations - Bravix / Mark Perlberg_CPA (F),86d04ccm1,16.0
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation: Bank Working (Deposits/Payment)),Operations - Syndicate / Macar_Ismail (H),86cvw5yp4,16.0
REMOTE_MISSING (id not in ClickUp),Sales Reconciliation: Meevo,Operations - Falcons / Nios_Josh,86cx07u14,16.0
REMOTE_MISSING (id not in ClickUp),Travis Loidolt: Book Status,Operations - Bravix / Mark Perlberg_CPA (F),86cv3pca3,16.0
REMOTE_MISSING (id not in ClickUp),1099 Preparation & Filing,Operations - Synergy / 19Y Advisors_David,85zrkapj7,16.0
REMOTE_MISSING (id not in ClickUp),03. AP Management: AP Bills Payment,Operations - Falcons /Smrtft_Rob (H),30rvbjk,16.0
REMOTE_MISSING (id not in ClickUp),Joycan Training,Admin-Operational Works,15879787,15.9
REMOTE_MISSING (id not in ClickUp),Reconcile Land Sales Purchase,Operations - Synergy / OXholdings_Billy (H),86cu1guhn,15.9
NO_TASK (project-level only),(no task - project level),Operations - Falcons / Throughline_Gill (H),,15.9
REMOTE_MISSING (id not in ClickUp),NB __ Training & Research,Operations - Synergy / InterUtah_Mark (H),86d02hgt0,15.9
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation: BOA 5350,Operations - Falcons / Edge_Josh (F),85zth3qtx,15.8
REMOTE_MISSING (id not in ClickUp),"Neist Media (Hostage):- Bank, LOC and Card Reconciliation",Operations - Bravix / Finance Faheem_CPA (H),86cu9v7ma,15.8
REMOTE_MISSING (id not in ClickUp),Client call,"Ledger Labs, Inc. / Emailing & Management",16772081,15.8
REMOTE_MISSING (id not in ClickUp),4.GOVIL FAMILY- Status & Queries: Books Status & Fixing Queries,Operations - Syndicate / Goddardschool_Akhil (F),31ng3wp,15.8
REMOTE_MISSING (id not in ClickUp),Homecourt- Bank Reco- RHO Checking-5849,Operations - Bravix / Finance Faheem_CPA (H),86cu5zbvb,15.8
NO_TASK (project-level only),(no task - project level),Onboarding Clients / GoodMana_Kevin,,15.7
REMOTE_MISSING (id not in ClickUp),CFOs: Preparing Production Cost Sheet,Operations - Bravix / Wisoman_Sonal (F),85yvwfmd7,15.7
REMOTE_MISSING (id not in ClickUp),TLV - AP Management : Adding Bills and Payments,Operations - Falcons / Topo_Erin (H),86cvtp5jy,15.7
REMOTE_MISSING (id not in ClickUp),Payroll: Payroll run every Weekly,Operations - Synergy / Found_Bethany,314e9xa,15.7
REMOTE_MISSING (id not in ClickUp),Missive Inbox review,Admin-Operational Works,14384980,15.6
REMOTE_MISSING (id not in ClickUp),Reconcile Banks & Credit Cards : Ox Holdings PayPal Bank,Operations - Synergy / OXholdings_Billy (H),86ctwhztm,15.6
REMOTE_MISSING (id not in ClickUp),Rent payment & sales calculation,Operations - Syndicate / Maceoo_Mehdi (F),86cua53ah,15.6
REMOTE_MISSING (id not in ClickUp),Sales Reconciliation: Close all the Sales Order Correctly,Operations - Bravix / SevenShopper_Lin (H),860q5w8u1,15.6
REMOTE_MISSING (id not in ClickUp),TMM - AP Management : Adding Bills and Payments,Operations - Falcons / Topo_Erin (H),86cv9axg2,15.5
NO_TASK (project-level only),(no task - project level),Operations - Falcons /Smrtft_Rob (H),,15.5
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation : Community of the Bay Bank (6956),Operations - Titans / McMullen_Sherri (H),86cv7mrpg,15.5
REMOTE_MISSING (id not in ClickUp),Review & closing 2023,Operations - Titans / Cen_Kevin,86cv0krqy,15.5
REMOTE_MISSING (id not in ClickUp),Prepaid & Accrued Expense MJE,Archived Projects- Ledger Labs- / Nano_Chris,85ztbqkpr,15.5
REMOTE_MISSING (id not in ClickUp),Audit: Monthly Books Review,Operations - Titans / LakeNSkye_Courtney (H),85zt92cz9,15.4
REMOTE_MISSING (id not in ClickUp),Shopify Sale,Operations - Bravix / EpicRise_Lin (H),86d0ywqj0,15.4
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation: BOA 7878 - CC,Operations - Titans / Samadhi_Jessica (F),85zt3e02d,15.4
REMOTE_MISSING (id not in ClickUp),Payroll:- Payroll Process,Operations - Bravix / EpicRise_Lin (H),86cxd11dh,15.3
REMOTE_MISSING (id not in ClickUp),BB Chicago_Reconciliation: Bank and Card,Operations - Synergy / Blind_Adam (H),86cvr9zny,15.3
REMOTE_MISSING (id not in ClickUp),Shopify:Discount-D2C & Sub Account,Onboarding Clients / Duvin_Garrett (F),86d0bkdu9,15.3
REMOTE_MISSING (id not in ClickUp),Blue Pineapple Rental Group_Loans Reconcillation,Operations - Bravix / Mark Perlberg_CPA (F),86cvkkb7z,15.3
REMOTE_MISSING (id not in ClickUp),Task Review_LVL1,Operations - Bravix / Dannik_Olga (F),86d2kt9f3,15.3
REMOTE_MISSING (id not in ClickUp),Tax Dom Checking,Operations - Bravix / Mark Perlberg_CPA (F),86cunwvhj,15.2
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation: Barclay's CC_8412,Operations - Mavericks / ChefPoint_Paula (F),30rw7g4,15.2
REMOTE_MISSING (id not in ClickUp),3.LEESBURG-Status & Queries: Books Status & Fixing Queries,Operations - Syndicate / Goddardschool_Akhil (F),31ng5dr,15.2
REMOTE_MISSING (id not in ClickUp),Audit- FBA Inventory Audit & Reimbursement,Operations - Bravix / EpicRise_Lin (H),86cwgqyx2,15.2
REMOTE_MISSING (id not in ClickUp),Review: Level 1,Onboarding Clients / Duvin_Garrett (F),86d0n1t31,15.2
REMOTE_MISSING (id not in ClickUp),Email Management: Checking Email & Daily Task Delegation,Operations - Synergy / Blind_Adam (H),86d25mmx1,15.2
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation: 1035 - PayPal Inc- undeposited,Operations - Synergy / Found_Bethany,314e9wd,15.2
REMOTE_MISSING (id not in ClickUp),Status & Queries: Books Status & Fixing Queries,Operations - Synergy / Found_Bethany,85zt5xtm1,15.1
REMOTE_MISSING (id not in ClickUp),BB Charley:Status & Queries: Books Status & Fixing Queries,Operations - Synergy / Blind_Adam (H),314azhb,15.1
REMOTE_MISSING (id not in ClickUp),IDream IT: Reconcile: Upwork,Operations - Synergy / IDream_Joseph (H),86cx5dgeq,15.1
REMOTE_MISSING (id not in ClickUp), Inbox Management : Daily Email Response,Operations - Falcons / Topo_Erin (H),86cytd69c,15.1
REMOTE_MISSING (id not in ClickUp),Payroll Reconciliation: Reading SOP and Making Notes,Operations - Falcons / Nios_Josh,85ztyp3kz,15.0
REMOTE_MISSING (id not in ClickUp), Inbox Management : Daily Email Response,Operations - Falcons / Topo_Erin (H),86cycpz29,15.0
REMOTE_MISSING (id not in ClickUp),2.WALDORF-Bank & Card Reconciliation: Checking at MainStreet Bank -W,Operations - Syndicate / Goddardschool_Akhil (F),314fbnb,15.0
REMOTE_MISSING (id not in ClickUp),Consolidated:- Monthly Financial & Reporting,Operations - Synergy / Blind_Adam (H),86d259hbw,15.0
REMOTE_MISSING (id not in ClickUp),Books review,Operations - Bravix / CSProp_Lin (H),86cxr3kr4,15.0
NO_TASK (project-level only),(no task - project level),Operations - Titans / BizLog_Ted (F),,15.0
NO_REMOTE (native Hubstaff task),Zuri Furniture Review,Admin-Operational Works,,14.9
REMOTE_MISSING (id not in ClickUp),Inbox Management: Task Delegation & Follow up,Operations - Titans / Samadhi_Jessica (F),85yx17xwd,14.9
REMOTE_MISSING (id not in ClickUp),SF_Shopify & Amazon Sales Record,Operations - Bravix / Finance Faheem_CPA (H),86cvmw8xa,14.8
REMOTE_MISSING (id not in ClickUp),Slack/ Consolidate Email,Operations - Bravix / Finance Faheem_CPA (H),86czmjzq7,14.8
REMOTE_MISSING (id not in ClickUp),Interviews,"Ledger Labs, Inc. / Emailing & Management",14972141,14.8
REMOTE_MISSING (id not in ClickUp),Status & Queries: Books Status & Fixing Queries,Operations - Syndicate / EdBall_Edward (F),86cv2hpcc,14.8
REMOTE_MISSING (id not in ClickUp),Dannik_Olga-Bank Reconciliation : Chase Business Checking 3212,Operations - Bravix / Dannik_Olga (F),85zu3f6km,14.7
REMOTE_MISSING (id not in ClickUp),BB Chicago:Bank & Card Reconciliation: Chase bank 5527,Operations - Synergy / Blind_Adam (H),314b1r5,14.7
REMOTE_MISSING (id not in ClickUp),BB Chicago_Reconciliation: Bank and Card,Operations - Synergy / Blind_Adam (H),86czctwz1,14.7
REMOTE_MISSING (id not in ClickUp),Queries and Review: update,Operations - Titans / LakeNSkye_Courtney (H),866ah4at5,14.7
REMOTE_MISSING (id not in ClickUp),HC_Checking Client Email,Operations - Bravix / Finance Faheem_CPA (H),86cuhb3t0,14.7
REMOTE_MISSING (id not in ClickUp),AR Management: Graybar order history_Mapping,Operations - Synergy / T1_Ward (F),85ztu0570,14.6
NO_TASK (project-level only),(no task - project level),Archived Projects- Ledger Labs- / Nikhilesh Task Tracker,,14.6
REMOTE_MISSING (id not in ClickUp),Audit: Initial Book Review And Found the Past Issues.,Onboarding Clients / Duvin_Garrett (F),86cw72pev,14.6
REMOTE_MISSING (id not in ClickUp),Bank Reconciliation: PR LLC,Operations - Syndicate / Maceoo_Mehdi (F),866apabcb,14.5
REMOTE_MISSING (id not in ClickUp),BB Highland_Audit: Monthly General Ledger Review,Operations - Synergy / Blind_Adam (H),86d0xraj4,14.5
REMOTE_MISSING (id not in ClickUp),BB Charley:Sales Reconciliation: POS Sales MyTime Sales,Operations - Synergy / Blind_Adam (H),314azh5,14.5
REMOTE_MISSING (id not in ClickUp),02. AR Management: Invoice to G&G,Operations - Falcons /Smrtft_Rob (H),86cvrhzz6,14.5
REMOTE_MISSING (id not in ClickUp),BHN_Daily Coding,Operations - Bravix / Finance Faheem_CPA (H),86cwz9b8t,14.5
REMOTE_MISSING (id not in ClickUp),Bank Reconciliation :  LVRW LLC,Operations - Syndicate / Maceoo_Mehdi (F),866apdqfc,14.5
REMOTE_MISSING (id not in ClickUp),Training/Helping In the Projects,Ledger Labs- / Emailing & Training,860qjpakv,14.4
REMOTE_MISSING (id not in ClickUp),Email Management: Checking Email & Daily Task Delegation,Operations - Synergy / Blind_Adam (H),86d25mmwe,14.4
REMOTE_MISSING (id not in ClickUp),Dannik_Olga-Status & Queries: Books Status & Fixing Queries,Operations - Bravix / Dannik_Olga (F),86d253q5d,14.4
REMOTE_MISSING (id not in ClickUp),01. Inbox Management: Task Delegation & Follow up,Operations - Falcons /Smrtft_Rob (H),30rvbjd,14.4
REMOTE_MISSING (id not in ClickUp),Audit: Initial Book Review And Found the Past Issues.,Operations - Bravix / CSProp_Lin (H),86cx04zab,14.3
REMOTE_MISSING (id not in ClickUp),AWE: Accounting Package Update,Operations - Bravix / Finance Faheem_CPA (H),86cvjcp6u,14.3
NO_TASK (project-level only),(no task - project level),Operations - Alliance / ZipScanners_Luke (F),,14.3
REMOTE_MISSING (id not in ClickUp),HQ Deposits & Clearing,Operations - Syndicate / Maceoo_Mehdi (F),86ctyacc2,14.3
